,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[1277],-0.203,0.623,-1.376,0.977,0.079,0.056,63.0,63.0,62.0,277.0,1.11
Z_aux[1278],-0.204,0.614,-1.368,0.963,0.05,0.036,150.0,150.0,151.0,270.0,1.03
Z_aux[1279],0.024,0.583,-1.076,1.11,0.044,0.031,172.0,172.0,172.0,370.0,1.04
Z_aux[1280],-0.019,0.56,-1.11,1.037,0.055,0.039,105.0,105.0,108.0,307.0,1.07
Z_aux[1281],0.942,0.518,-0.038,1.889,0.06,0.043,75.0,75.0,76.0,339.0,1.08
Z_aux[1282],-0.374,0.641,-1.594,0.839,0.107,0.076,36.0,36.0,36.0,107.0,1.15
Z_aux[1283],0.119,0.555,-0.872,1.195,0.072,0.051,59.0,59.0,59.0,462.0,1.1
Z_aux[1284],-0.145,0.565,-1.241,0.883,0.075,0.053,57.0,57.0,58.0,181.0,1.12
Z_aux[1285],-0.012,0.592,-1.11,1.107,0.057,0.04,108.0,108.0,118.0,82.0,1.08
Z_aux[1286],0.044,0.53,-0.948,1.002,0.063,0.045,71.0,71.0,72.0,226.0,1.09
Z_aux[1287],-0.586,0.555,-1.67,0.382,0.043,0.031,166.0,161.0,170.0,492.0,1.03
Z_aux[1288],-0.043,0.591,-1.118,1.106,0.037,0.026,260.0,260.0,257.0,737.0,1.04
Z_aux[1289],-0.098,0.578,-1.203,0.948,0.071,0.05,67.0,67.0,64.0,311.0,1.11
Z_aux[1290],-0.261,0.582,-1.368,0.808,0.05,0.035,137.0,137.0,136.0,272.0,1.04
Z_aux[1291],0.02,0.579,-0.998,1.151,0.059,0.042,97.0,97.0,96.0,125.0,1.08
Z_aux[1292],-0.684,0.53,-1.596,0.397,0.072,0.051,54.0,54.0,55.0,59.0,1.13
Z_aux[1293],-0.743,0.625,-1.799,0.425,0.116,0.083,29.0,29.0,31.0,341.0,1.19
Z_aux[1294],0.337,0.584,-0.793,1.415,0.069,0.049,71.0,71.0,71.0,349.0,1.11
Z_aux[1295],-0.17,0.622,-1.371,0.968,0.054,0.038,134.0,134.0,135.0,166.0,1.03
Z_aux[1296],-0.278,0.561,-1.339,0.777,0.055,0.039,103.0,103.0,102.0,211.0,1.07
Z_aux[1297],0.258,0.569,-0.765,1.383,0.076,0.054,57.0,57.0,56.0,249.0,1.1
Z_aux[1298],0.111,0.733,-1.319,1.464,0.175,0.126,18.0,18.0,20.0,14.0,1.32
Z_aux[1299],0.271,0.561,-0.806,1.273,0.048,0.034,138.0,138.0,142.0,331.0,1.06
Z_aux[1300],0.31,0.567,-0.78,1.359,0.061,0.043,86.0,86.0,84.0,265.0,1.07
Z_aux[1301],-0.128,0.614,-1.318,0.988,0.069,0.049,78.0,78.0,78.0,322.0,1.09
Z_aux[1302],-0.32,0.6,-1.49,0.769,0.095,0.068,40.0,40.0,41.0,216.0,1.16
Z_aux[1303],-0.085,0.589,-1.102,1.031,0.108,0.077,30.0,30.0,30.0,62.0,1.22
Z_aux[1304],-0.546,0.615,-1.771,0.572,0.089,0.064,47.0,47.0,47.0,175.0,1.13
Z_aux[1305],-0.096,0.574,-1.155,0.957,0.072,0.051,64.0,64.0,65.0,243.0,1.09
Z_aux[1306],-0.037,0.594,-1.209,0.983,0.093,0.066,41.0,41.0,42.0,91.0,1.14
Z_aux[1307],-0.302,0.575,-1.326,0.858,0.047,0.033,151.0,151.0,151.0,370.0,1.05
Z_aux[1308],-0.357,0.579,-1.372,0.821,0.07,0.05,68.0,68.0,69.0,172.0,1.09
Z_aux[1309],-0.111,0.571,-1.193,0.903,0.043,0.031,175.0,175.0,175.0,533.0,1.03
Z_aux[1310],0.411,0.518,-0.537,1.346,0.039,0.037,177.0,96.0,180.0,575.0,1.07
Z_aux[1311],0.697,0.566,-0.352,1.768,0.06,0.042,89.0,89.0,92.0,260.0,1.07
Z_aux[1312],0.034,0.558,-1.006,1.096,0.072,0.051,59.0,59.0,61.0,262.0,1.1
Z_aux[1313],-0.099,0.552,-1.133,0.929,0.065,0.046,73.0,73.0,78.0,168.0,1.1
Z_aux[1314],0.16,0.661,-1.097,1.344,0.097,0.069,47.0,47.0,47.0,159.0,1.13
Z_aux[1315],-0.09,0.59,-1.142,1.063,0.066,0.047,79.0,79.0,81.0,300.0,1.08
Z_aux[1316],-0.117,0.558,-1.143,0.921,0.039,0.027,208.0,208.0,209.0,601.0,1.05
Z_aux[1317],-0.103,0.576,-1.158,0.993,0.068,0.049,71.0,71.0,71.0,304.0,1.08
Z_aux[1318],-0.006,0.572,-1.052,1.082,0.047,0.033,148.0,148.0,152.0,262.0,1.02
Z_aux[1319],0.105,0.804,-1.439,1.598,0.124,0.088,42.0,42.0,43.0,70.0,1.13
Z_aux[1320],0.0,0.595,-1.116,1.172,0.049,0.036,146.0,140.0,166.0,122.0,1.04
Z_aux[1321],-0.317,0.561,-1.307,0.831,0.081,0.057,48.0,48.0,53.0,73.0,1.11
Z_aux[1322],-0.006,0.582,-1.126,1.041,0.052,0.037,125.0,125.0,126.0,307.0,1.05
Z_aux[1323],-0.333,0.704,-1.639,0.938,0.122,0.087,34.0,34.0,35.0,65.0,1.16
Z_aux[1324],-0.215,0.567,-1.307,0.863,0.061,0.043,86.0,86.0,83.0,313.0,1.08
Z_aux[1325],-0.239,0.569,-1.306,0.854,0.066,0.047,75.0,75.0,77.0,194.0,1.1
Z_aux[1326],0.542,0.553,-0.488,1.574,0.065,0.046,72.0,72.0,72.0,423.0,1.08
Z_aux[1327],0.221,0.559,-0.9,1.278,0.075,0.053,56.0,56.0,56.0,135.0,1.12
Z_aux[1328],0.068,0.612,-1.103,1.147,0.048,0.034,162.0,162.0,160.0,515.0,1.05
Z_aux[1329],-0.275,0.594,-1.439,0.735,0.044,0.031,178.0,178.0,182.0,421.0,1.03
Z_aux[1330],-0.251,0.563,-1.29,0.813,0.058,0.041,95.0,95.0,98.0,176.0,1.07
Z_aux[1331],0.446,0.541,-0.576,1.432,0.063,0.045,73.0,73.0,77.0,102.0,1.09
Z_aux[1332],0.101,0.621,-1.02,1.244,0.102,0.073,37.0,37.0,37.0,127.0,1.17
Z_aux[1333],-0.056,0.55,-1.104,0.894,0.076,0.054,52.0,52.0,51.0,303.0,1.11
Z_aux[1334],0.337,0.61,-0.841,1.391,0.089,0.063,47.0,47.0,46.0,194.0,1.13
Z_aux[1335],0.263,0.56,-0.817,1.236,0.057,0.041,96.0,96.0,95.0,486.0,1.07
Z_aux[1336],0.025,0.562,-1.017,1.024,0.065,0.046,75.0,75.0,73.0,418.0,1.08
Z_aux[1337],-0.148,0.588,-1.248,0.958,0.05,0.035,140.0,140.0,142.0,172.0,1.05
Z_aux[1338],-0.653,0.778,-2.087,0.752,0.132,0.094,34.0,34.0,35.0,95.0,1.17
Z_aux[1339],0.127,0.572,-1.014,1.183,0.079,0.056,52.0,52.0,53.0,310.0,1.11
Z_aux[1340],0.034,0.539,-0.971,1.034,0.055,0.039,96.0,96.0,97.0,442.0,1.06
Z_aux[1341],0.151,0.624,-0.948,1.257,0.109,0.078,33.0,33.0,32.0,115.0,1.22
Z_aux[1342],-0.152,0.589,-1.276,0.903,0.062,0.044,92.0,92.0,92.0,515.0,1.07
Z_aux[1343],-0.301,0.587,-1.393,0.84,0.092,0.065,41.0,41.0,42.0,130.0,1.14
Z_aux[1344],-0.482,0.601,-1.616,0.593,0.05,0.036,143.0,143.0,146.0,543.0,1.05
Z_aux[1345],-0.071,0.579,-1.172,1.008,0.053,0.037,121.0,121.0,122.0,230.0,1.07
Z_aux[1346],0.986,0.539,-0.052,1.958,0.072,0.054,56.0,50.0,56.0,356.0,1.11
Z_aux[1347],-0.021,0.584,-1.116,1.095,0.046,0.032,165.0,165.0,164.0,499.0,1.05
Z_aux[1348],0.208,0.569,-0.886,1.272,0.071,0.051,63.0,63.0,64.0,396.0,1.11
Z_aux[1349],-0.007,0.566,-1.075,1.055,0.04,0.028,199.0,199.0,199.0,370.0,1.04
Z_aux[1350],-0.116,0.55,-1.148,0.876,0.062,0.044,78.0,78.0,80.0,363.0,1.09
Z_aux[1351],-0.633,0.599,-1.738,0.489,0.133,0.096,20.0,20.0,20.0,36.0,1.33
