,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
beta0[0],-4.789,22.662,-63.115,28.631,6.045,4.367,14.0,14.0,12.0,16.0,1.81
beta0[1],-8.489,35.624,-73.351,68.681,11.557,8.437,10.0,10.0,10.0,10.0,2.24
beta0[2],-2.427,23.377,-29.551,55.504,7.811,5.714,9.0,9.0,10.0,24.0,2.29
beta0[3],5.519,25.079,-34.183,61.897,7.446,5.407,11.0,11.0,11.0,15.0,1.87
beta0[4],5.344,18.078,-25.327,41.949,3.932,2.82,21.0,21.0,15.0,45.0,1.7
beta0[5],-5.826,21.292,-63.0,22.91,7.053,5.156,9.0,9.0,11.0,14.0,2.26
beta0[6],7.934,30.872,-43.353,64.039,9.574,6.969,10.0,10.0,11.0,21.0,2.07
beta0[7],-13.341,19.774,-54.889,20.262,5.963,4.334,11.0,11.0,11.0,24.0,2.11
beta0[8],26.631,25.854,-7.52,78.821,7.537,5.467,12.0,12.0,12.0,26.0,1.77
beta0[9],9.457,29.4,-24.298,84.837,7.717,5.57,15.0,15.0,14.0,31.0,1.63
beta0[10],2.921,28.142,-37.024,66.215,8.555,6.22,11.0,11.0,12.0,22.0,1.98
beta0[11],4.517,18.594,-33.792,43.441,5.903,4.303,10.0,10.0,10.0,14.0,2.33
beta0[12],-0.498,17.225,-34.499,27.676,5.819,4.26,9.0,9.0,9.0,12.0,3.21
beta0[13],3.103,9.01,-15.762,20.832,3.06,2.241,9.0,9.0,9.0,19.0,3.05
beta0[14],18.802,57.033,-79.134,156.193,18.859,13.915,9.0,9.0,10.0,10.0,2.35
beta0[15],-8.327,31.382,-97.435,35.23,9.896,7.211,10.0,10.0,10.0,12.0,2.41
beta0[16],-3.086,13.139,-37.711,13.966,3.877,2.814,11.0,11.0,11.0,16.0,2.11
beta0[17],-10.223,39.944,-118.65,31.796,12.92,9.689,10.0,9.0,13.0,23.0,2.38
beta0[18],-8.528,23.93,-59.898,36.021,5.777,4.219,17.0,17.0,16.0,19.0,1.47
beta0[19],-0.99,47.764,-95.342,107.182,15.227,11.103,10.0,10.0,10.0,11.0,2.7
beta0[20],-2.345,21.693,-36.281,28.696,6.249,4.53,12.0,12.0,12.0,24.0,1.88
beta0[21],3.763,17.286,-21.284,35.211,5.662,4.136,9.0,9.0,10.0,45.0,2.32
beta0[22],1.102,23.654,-42.307,40.993,7.342,5.345,10.0,10.0,11.0,25.0,2.1
beta0[23],0.618,12.595,-24.488,15.911,4.131,3.018,9.0,9.0,11.0,12.0,2.07
beta0[24],0.275,19.896,-31.184,37.393,6.697,4.901,9.0,9.0,9.0,21.0,2.78
beta0[25],-2.881,30.394,-49.675,68.534,8.735,6.332,12.0,12.0,12.0,24.0,2.0
beta0[26],3.237,21.421,-24.698,63.616,6.95,5.073,10.0,10.0,10.0,20.0,2.57
beta0[27],0.826,35.547,-78.938,66.866,10.901,7.93,11.0,11.0,11.0,23.0,2.17
beta0[28],-25.266,35.838,-101.333,40.657,12.157,8.902,9.0,9.0,9.0,10.0,3.28
beta0[29],-11.797,19.783,-45.568,8.39,5.009,3.611,16.0,16.0,12.0,34.0,1.99
beta0[30],-10.601,15.517,-45.092,5.279,4.866,3.545,10.0,10.0,10.0,19.0,2.28
beta0[31],7.954,19.282,-28.595,43.04,3.341,2.383,33.0,33.0,21.0,44.0,1.47
beta0[32],6.556,27.268,-39.999,54.45,9.253,6.776,9.0,9.0,9.0,10.0,3.28
beta0[33],-7.26,28.706,-68.727,31.408,7.237,5.215,16.0,16.0,13.0,32.0,1.7
beta0[34],-7.65,38.936,-122.028,46.813,12.764,9.325,9.0,9.0,9.0,16.0,2.7
beta0[35],7.017,34.985,-47.098,75.552,9.686,7.008,13.0,13.0,14.0,56.0,1.57
beta0[36],8.255,32.271,-37.718,92.005,9.069,6.566,13.0,13.0,15.0,25.0,1.9
beta0[37],-5.632,23.265,-44.662,45.242,7.594,5.546,9.0,9.0,10.0,23.0,2.58
beta0[38],8.332,28.938,-47.036,65.032,6.68,4.799,19.0,19.0,17.0,40.0,1.67
beta0[39],8.154,19.642,-32.126,42.197,5.818,4.224,11.0,11.0,11.0,19.0,1.87
beta0[40],-4.948,22.782,-70.681,31.981,7.252,5.412,10.0,9.0,11.0,10.0,2.03
beta0[41],-15.223,29.189,-91.441,35.805,7.115,5.595,17.0,14.0,16.0,17.0,1.54
beta0[42],-4.623,31.206,-67.076,53.965,10.218,7.464,9.0,9.0,9.0,14.0,2.64
beta0[43],3.785,21.882,-42.324,50.311,6.606,4.801,11.0,11.0,11.0,14.0,2.12
beta0[44],9.387,24.719,-46.326,54.689,8.106,5.922,9.0,9.0,9.0,11.0,2.97
beta0[45],-9.656,37.804,-90.779,39.716,12.731,9.318,9.0,9.0,9.0,30.0,2.62
beta0[46],0.069,34.813,-47.58,70.462,11.141,8.126,10.0,10.0,10.0,19.0,2.33
betas[0],0.39,0.121,0.178,0.633,0.023,0.016,29.0,29.0,29.0,104.0,1.23
betas[1],0.591,0.09,0.408,0.741,0.02,0.014,20.0,20.0,20.0,55.0,1.32
betas[2],0.339,0.153,0.037,0.64,0.028,0.02,30.0,30.0,30.0,63.0,1.21
betas[3],0.762,0.29,0.189,1.33,0.076,0.055,15.0,15.0,15.0,30.0,1.52
betas[4],0.757,0.228,0.327,1.155,0.05,0.036,21.0,21.0,21.0,95.0,1.3
betas[5],0.594,0.117,0.378,0.818,0.023,0.016,26.0,26.0,26.0,56.0,1.23
betas[6],0.15,0.1,-0.039,0.34,0.023,0.016,20.0,20.0,21.0,40.0,1.3
betas[7],0.319,0.118,0.082,0.531,0.018,0.013,41.0,41.0,41.0,189.0,1.13
betas[8],0.456,0.067,0.34,0.6,0.016,0.012,17.0,16.0,18.0,32.0,1.43
betas[9],0.629,0.122,0.382,0.866,0.026,0.019,22.0,22.0,22.0,97.0,1.29
betas[10],0.909,0.111,0.693,1.096,0.022,0.016,25.0,25.0,26.0,53.0,1.26
betas[11],0.126,0.164,-0.177,0.43,0.037,0.027,19.0,19.0,20.0,116.0,1.32
betas[12],0.49,0.114,0.28,0.728,0.025,0.018,21.0,20.0,21.0,31.0,1.29
betas[13],0.7,0.176,0.398,1.013,0.041,0.03,18.0,18.0,20.0,72.0,1.35
betas[14],0.644,0.125,0.42,0.881,0.031,0.023,16.0,16.0,16.0,53.0,1.46
betas[15],0.214,0.11,0.01,0.426,0.017,0.012,41.0,40.0,40.0,117.0,1.15
betas[16],0.575,0.16,0.312,0.89,0.033,0.024,24.0,23.0,25.0,89.0,1.25
betas[17],0.553,0.147,0.274,0.811,0.036,0.026,17.0,17.0,17.0,85.0,1.41
betas[18],0.117,0.03,0.063,0.175,0.005,0.004,33.0,32.0,34.0,53.0,1.18
betas[19],0.47,0.23,0.053,0.903,0.035,0.025,44.0,42.0,43.0,115.0,1.13
betas[20],0.525,0.069,0.398,0.663,0.011,0.008,41.0,40.0,41.0,85.0,1.15
betas[21],0.503,0.093,0.333,0.678,0.023,0.017,16.0,16.0,17.0,37.0,1.44
betas[22],0.653,0.158,0.339,0.948,0.025,0.018,39.0,39.0,40.0,88.0,1.14
betas[23],0.242,0.35,-0.411,0.843,0.071,0.051,24.0,24.0,24.0,115.0,1.26
betas[24],0.303,0.143,0.025,0.545,0.028,0.02,25.0,25.0,26.0,89.0,1.23
betas[25],0.34,0.141,0.097,0.609,0.02,0.015,48.0,48.0,49.0,165.0,1.13
betas[26],0.766,0.117,0.546,0.982,0.024,0.017,23.0,23.0,23.0,65.0,1.26
betas[27],0.492,0.225,0.064,0.912,0.053,0.038,18.0,18.0,19.0,37.0,1.37
betas[28],0.613,0.083,0.462,0.759,0.023,0.017,13.0,13.0,14.0,26.0,1.58
betas[29],0.438,0.141,0.182,0.717,0.033,0.024,19.0,17.0,20.0,23.0,1.34
betas[30],0.226,0.025,0.178,0.273,0.005,0.004,20.0,20.0,20.0,39.0,1.33
betas[31],0.828,0.165,0.497,1.154,0.041,0.03,16.0,16.0,17.0,48.0,1.45
betas[32],0.346,0.1,0.177,0.545,0.025,0.019,16.0,15.0,16.0,21.0,1.45
betas[33],0.54,0.173,0.226,0.864,0.039,0.028,19.0,19.0,20.0,43.0,1.35
betas[34],0.681,0.129,0.455,0.93,0.024,0.017,29.0,29.0,30.0,66.0,1.2
betas[35],0.306,0.187,-0.042,0.698,0.046,0.038,16.0,13.0,18.0,17.0,1.36
betas[36],0.529,0.111,0.31,0.712,0.025,0.018,19.0,19.0,20.0,148.0,1.32
betas[37],0.305,0.172,-0.024,0.626,0.035,0.025,24.0,24.0,25.0,51.0,1.24
betas[38],0.652,0.144,0.377,0.918,0.032,0.023,20.0,20.0,20.0,66.0,1.35
betas[39],0.533,0.124,0.305,0.782,0.027,0.02,21.0,21.0,21.0,76.0,1.3
betas[40],0.652,0.181,0.354,1.021,0.043,0.033,18.0,16.0,20.0,39.0,1.35
betas[41],0.529,0.106,0.318,0.723,0.022,0.016,23.0,23.0,24.0,73.0,1.25
betas[42],0.271,0.151,-0.021,0.555,0.024,0.018,39.0,36.0,40.0,74.0,1.16
betas[43],0.567,0.273,0.067,1.027,0.059,0.042,21.0,21.0,22.0,144.0,1.28
betas[44],0.271,0.056,0.182,0.389,0.014,0.01,17.0,17.0,18.0,91.0,1.38
betas[45],0.575,0.118,0.361,0.795,0.022,0.015,30.0,30.0,31.0,252.0,1.22
betas[46],0.205,0.174,-0.089,0.54,0.035,0.025,24.0,24.0,25.0,55.0,1.25
Z_aux[0],-0.211,0.568,-1.289,0.955,0.061,0.043,88.0,88.0,86.0,215.0,1.08
Z_aux[1],-0.267,0.548,-1.315,0.756,0.042,0.03,167.0,167.0,167.0,360.0,1.06
Z_aux[2],0.304,0.564,-0.752,1.319,0.055,0.039,107.0,107.0,119.0,114.0,1.07
Z_aux[3],-0.376,0.578,-1.312,0.828,0.089,0.063,42.0,42.0,43.0,413.0,1.13
Z_aux[4],-0.195,0.604,-1.338,0.909,0.045,0.032,179.0,179.0,180.0,446.0,1.02
Z_aux[5],-0.067,0.63,-1.175,1.145,0.067,0.048,88.0,88.0,95.0,279.0,1.07
Z_aux[6],-0.417,0.568,-1.458,0.677,0.045,0.032,161.0,161.0,162.0,628.0,1.05
Z_aux[7],-0.218,0.594,-1.299,0.936,0.044,0.031,185.0,185.0,185.0,451.0,1.03
Z_aux[8],-2.158,1.002,-4.287,-0.456,0.266,0.199,14.0,13.0,15.0,17.0,1.51
Z_aux[9],0.037,0.582,-1.056,1.17,0.07,0.049,70.0,70.0,69.0,271.0,1.08
Z_aux[10],-0.146,0.623,-1.26,1.032,0.076,0.054,67.0,67.0,69.0,566.0,1.09
Z_aux[11],-0.221,0.658,-1.395,1.14,0.077,0.054,74.0,74.0,73.0,188.0,1.08
Z_aux[12],-0.18,0.542,-1.074,0.895,0.076,0.054,51.0,51.0,54.0,339.0,1.11
Z_aux[13],-0.152,0.647,-1.294,1.108,0.086,0.061,57.0,57.0,60.0,215.0,1.09
Z_aux[14],-0.316,0.522,-1.221,0.728,0.073,0.052,51.0,51.0,51.0,205.0,1.11
Z_aux[15],0.676,0.541,-0.428,1.642,0.083,0.059,42.0,42.0,44.0,296.0,1.13
Z_aux[16],-0.273,0.585,-1.422,0.77,0.054,0.038,119.0,119.0,118.0,363.0,1.05
Z_aux[17],0.026,0.587,-1.044,1.104,0.105,0.075,31.0,31.0,31.0,192.0,1.19
Z_aux[18],0.422,0.563,-0.594,1.452,0.081,0.058,48.0,48.0,49.0,174.0,1.13
Z_aux[19],0.214,0.554,-0.814,1.282,0.095,0.068,34.0,34.0,34.0,74.0,1.17
Z_aux[20],0.051,0.531,-0.908,1.072,0.074,0.053,51.0,51.0,52.0,329.0,1.11
Z_aux[21],0.19,0.532,-0.815,1.202,0.083,0.059,41.0,41.0,41.0,139.0,1.15
Z_aux[22],0.029,0.66,-1.198,1.177,0.098,0.07,45.0,45.0,49.0,412.0,1.13
Z_aux[23],0.178,0.57,-0.925,1.268,0.053,0.037,118.0,118.0,113.0,326.0,1.07
Z_aux[24],-0.177,0.598,-1.272,0.982,0.065,0.046,86.0,86.0,86.0,196.0,1.08
Z_aux[25],-0.428,0.62,-1.618,0.694,0.071,0.051,75.0,75.0,75.0,224.0,1.08
Z_aux[26],-0.31,0.534,-1.269,0.701,0.072,0.051,55.0,55.0,55.0,315.0,1.1
Z_aux[27],-0.048,0.587,-1.205,1.043,0.053,0.037,124.0,124.0,125.0,258.0,1.08
Z_aux[28],-0.211,0.591,-1.392,0.817,0.051,0.036,133.0,133.0,133.0,331.0,1.06
Z_aux[29],-0.63,0.584,-1.784,0.399,0.068,0.053,74.0,60.0,76.0,172.0,1.08
Z_aux[30],-0.354,0.53,-1.315,0.657,0.064,0.046,68.0,68.0,67.0,407.0,1.08
Z_aux[31],-0.278,0.623,-1.451,0.865,0.091,0.065,47.0,47.0,46.0,259.0,1.12
Z_aux[32],-0.066,0.583,-1.14,1.012,0.05,0.036,135.0,128.0,135.0,161.0,1.04
Z_aux[33],-0.257,0.633,-1.481,0.857,0.094,0.067,45.0,45.0,42.0,167.0,1.16
Z_aux[34],-0.059,0.603,-1.123,1.195,0.088,0.063,47.0,47.0,49.0,139.0,1.13
Z_aux[35],-0.237,0.642,-1.455,0.969,0.106,0.076,37.0,37.0,37.0,147.0,1.15
Z_aux[36],2.129,0.517,1.106,3.033,0.063,0.047,67.0,62.0,67.0,138.0,1.09
Z_aux[37],-0.149,0.575,-1.202,0.98,0.048,0.034,143.0,143.0,143.0,329.0,1.05
Z_aux[38],-0.076,0.607,-1.19,1.086,0.053,0.038,130.0,130.0,130.0,202.0,1.06
Z_aux[39],0.059,0.61,-0.981,1.342,0.129,0.092,22.0,22.0,22.0,45.0,1.28
Z_aux[40],-0.019,0.601,-1.175,1.113,0.064,0.046,88.0,88.0,88.0,408.0,1.09
Z_aux[41],-0.208,0.603,-1.338,0.954,0.103,0.073,35.0,35.0,35.0,155.0,1.17
Z_aux[42],-0.113,0.563,-1.199,0.932,0.057,0.041,97.0,97.0,98.0,324.0,1.07
Z_aux[43],-0.242,0.603,-1.313,0.945,0.064,0.05,90.0,73.0,92.0,188.0,1.07
Z_aux[44],0.525,0.522,-0.408,1.527,0.044,0.038,140.0,97.0,151.0,425.0,1.06
Z_aux[45],0.447,0.565,-0.608,1.472,0.06,0.042,89.0,89.0,94.0,157.0,1.07
Z_aux[46],-0.026,0.541,-1.004,1.009,0.057,0.041,89.0,89.0,98.0,174.0,1.07
Z_aux[47],-0.423,0.557,-1.512,0.632,0.046,0.033,147.0,147.0,144.0,264.0,1.07
Z_aux[48],-0.233,0.637,-1.48,0.891,0.089,0.063,51.0,51.0,51.0,191.0,1.11
Z_aux[49],-0.197,0.577,-1.332,0.816,0.077,0.055,56.0,56.0,61.0,139.0,1.1
Z_aux[50],-0.229,0.566,-1.305,0.846,0.043,0.031,170.0,170.0,165.0,371.0,1.05
Z_aux[51],-0.08,0.555,-1.262,0.832,0.091,0.065,37.0,37.0,36.0,41.0,1.18
Z_aux[52],-0.155,0.6,-1.318,0.938,0.041,0.029,213.0,213.0,214.0,394.0,1.02
Z_aux[53],0.04,0.583,-1.02,1.128,0.063,0.045,85.0,85.0,83.0,228.0,1.08
Z_aux[54],-0.311,0.595,-1.424,0.809,0.073,0.052,66.0,66.0,67.0,218.0,1.09
Z_aux[55],1.011,0.529,-0.075,1.924,0.063,0.045,71.0,71.0,72.0,246.0,1.1
Z_aux[56],-0.141,0.562,-1.218,0.953,0.058,0.041,92.0,92.0,89.0,188.0,1.1
Z_aux[57],-0.718,0.691,-2.023,0.554,0.083,0.059,70.0,70.0,70.0,260.0,1.09
Z_aux[58],0.024,0.607,-1.178,1.111,0.098,0.07,38.0,38.0,38.0,183.0,1.15
Z_aux[59],-0.208,0.594,-1.408,0.855,0.058,0.041,106.0,106.0,105.0,339.0,1.07
Z_aux[60],0.064,0.536,-0.874,1.106,0.056,0.04,90.0,90.0,103.0,195.0,1.08
Z_aux[61],0.246,0.562,-0.797,1.32,0.055,0.039,103.0,103.0,101.0,188.0,1.07
Z_aux[62],-0.341,0.668,-1.515,0.942,0.123,0.088,29.0,29.0,31.0,53.0,1.21
Z_aux[63],0.442,0.61,-0.756,1.572,0.109,0.079,31.0,30.0,31.0,49.0,1.21
Z_aux[64],0.163,0.618,-0.966,1.347,0.098,0.07,40.0,40.0,40.0,311.0,1.15
Z_aux[65],-0.126,0.617,-1.272,1.05,0.05,0.035,154.0,154.0,156.0,547.0,1.05
Z_aux[66],0.814,0.765,-0.623,2.179,0.174,0.125,19.0,19.0,20.0,75.0,1.34
Z_aux[67],-0.019,0.653,-1.227,1.216,0.098,0.07,44.0,44.0,43.0,62.0,1.14
Z_aux[68],0.043,0.67,-1.174,1.371,0.118,0.084,32.0,32.0,32.0,50.0,1.18
Z_aux[69],-0.175,0.638,-1.316,1.121,0.091,0.064,50.0,50.0,48.0,95.0,1.12
Z_aux[70],-0.079,0.603,-1.155,1.062,0.076,0.054,64.0,64.0,64.0,84.0,1.1
Z_aux[71],-0.321,0.574,-1.468,0.698,0.062,0.044,85.0,85.0,84.0,460.0,1.08
Z_aux[72],-0.492,0.528,-1.416,0.602,0.06,0.055,78.0,47.0,82.0,57.0,1.08
Z_aux[73],-0.171,0.573,-1.218,0.984,0.071,0.051,65.0,65.0,65.0,202.0,1.09
Z_aux[74],-0.289,0.597,-1.423,0.855,0.056,0.04,114.0,114.0,118.0,318.0,1.06
Z_aux[75],-0.218,0.588,-1.321,0.885,0.076,0.054,60.0,60.0,59.0,189.0,1.1
Z_aux[76],1.245,0.516,0.305,2.209,0.061,0.043,73.0,73.0,74.0,137.0,1.09
Z_aux[77],0.067,0.569,-1.02,1.098,0.043,0.03,177.0,177.0,179.0,345.0,1.03
Z_aux[78],-0.637,0.6,-1.818,0.472,0.063,0.045,91.0,91.0,91.0,285.0,1.08
Z_aux[79],-0.093,0.522,-1.111,0.867,0.047,0.034,122.0,122.0,121.0,272.0,1.07
Z_aux[80],-0.245,0.575,-1.297,0.861,0.058,0.041,98.0,98.0,104.0,306.0,1.06
Z_aux[81],1.505,0.481,0.587,2.416,0.074,0.052,43.0,43.0,46.0,55.0,1.13
Z_aux[82],1.177,0.517,0.209,2.154,0.06,0.043,74.0,74.0,74.0,230.0,1.07
Z_aux[83],0.009,0.571,-1.066,1.08,0.055,0.039,107.0,107.0,108.0,206.0,1.06
Z_aux[84],0.032,0.519,-0.875,1.035,0.081,0.058,41.0,41.0,41.0,326.0,1.14
Z_aux[85],0.013,0.641,-1.183,1.167,0.075,0.054,72.0,72.0,71.0,307.0,1.08
Z_aux[86],-0.569,0.59,-1.738,0.515,0.065,0.046,83.0,83.0,83.0,312.0,1.09
Z_aux[87],0.015,0.559,-1.003,1.034,0.043,0.031,165.0,165.0,163.0,465.0,1.05
Z_aux[88],-0.066,0.673,-1.31,1.158,0.094,0.067,51.0,51.0,49.0,136.0,1.13
Z_aux[89],0.391,0.602,-0.767,1.595,0.065,0.046,86.0,86.0,87.0,72.0,1.07
Z_aux[90],-0.291,0.549,-1.3,0.696,0.091,0.065,37.0,37.0,37.0,240.0,1.15
Z_aux[91],-0.236,0.478,-1.081,0.758,0.065,0.046,54.0,54.0,54.0,309.0,1.17
Z_aux[92],0.699,0.574,-0.284,1.83,0.075,0.053,59.0,59.0,61.0,121.0,1.09
Z_aux[93],1.481,0.537,0.422,2.414,0.058,0.041,84.0,84.0,85.0,350.0,1.08
Z_aux[94],-0.376,0.594,-1.453,0.744,0.082,0.059,52.0,52.0,53.0,255.0,1.12
Z_aux[95],-0.045,0.579,-1.179,0.992,0.066,0.047,78.0,78.0,77.0,318.0,1.08
Z_aux[96],0.393,0.542,-0.641,1.43,0.051,0.045,111.0,74.0,117.0,106.0,1.07
Z_aux[97],-0.251,0.631,-1.443,0.953,0.072,0.051,78.0,78.0,77.0,189.0,1.08
Z_aux[98],-0.214,0.566,-1.251,0.92,0.061,0.043,87.0,87.0,88.0,169.0,1.07
Z_aux[99],0.033,0.605,-1.083,1.166,0.079,0.056,58.0,58.0,59.0,93.0,1.09
Z_aux[100],0.332,0.588,-0.768,1.416,0.052,0.037,128.0,128.0,129.0,226.0,1.05
Z_aux[101],-0.055,0.629,-1.197,1.095,0.074,0.053,72.0,72.0,76.0,334.0,1.08
Z_aux[102],0.653,0.558,-0.45,1.693,0.067,0.05,68.0,64.0,67.0,161.0,1.1
Z_aux[103],-0.043,0.599,-1.156,1.1,0.064,0.046,87.0,87.0,88.0,123.0,1.07
Z_aux[104],-0.092,0.626,-1.333,1.056,0.055,0.039,128.0,128.0,121.0,261.0,1.07
Z_aux[105],0.001,0.613,-1.135,1.201,0.076,0.054,65.0,65.0,64.0,73.0,1.09
Z_aux[106],0.376,0.631,-0.728,1.613,0.096,0.068,43.0,43.0,45.0,221.0,1.16
Z_aux[107],-0.232,0.614,-1.354,0.945,0.058,0.041,111.0,111.0,119.0,278.0,1.08
Z_aux[108],-0.398,0.529,-1.377,0.614,0.047,0.033,129.0,129.0,129.0,346.0,1.06
Z_aux[109],0.992,0.488,0.09,1.914,0.044,0.031,121.0,121.0,122.0,319.0,1.06
Z_aux[110],0.008,0.629,-1.114,1.163,0.078,0.055,66.0,66.0,64.0,218.0,1.1
Z_aux[111],-0.233,0.603,-1.352,0.927,0.051,0.036,139.0,139.0,137.0,347.0,1.07
Z_aux[112],0.606,0.564,-0.499,1.654,0.071,0.05,64.0,64.0,67.0,217.0,1.09
Z_aux[113],0.082,0.551,-0.94,1.118,0.081,0.058,46.0,46.0,46.0,244.0,1.14
Z_aux[114],-0.138,0.603,-1.291,0.942,0.05,0.036,143.0,143.0,145.0,223.0,1.05
Z_aux[115],0.487,0.538,-0.505,1.522,0.07,0.05,59.0,59.0,61.0,192.0,1.11
Z_aux[116],0.382,0.509,-0.515,1.409,0.041,0.029,157.0,157.0,155.0,308.0,1.05
Z_aux[117],-0.629,0.738,-1.897,0.804,0.15,0.108,24.0,24.0,25.0,134.0,1.25
Z_aux[118],-0.135,0.562,-1.212,0.927,0.05,0.036,124.0,124.0,125.0,289.0,1.04
Z_aux[119],-0.549,0.584,-1.629,0.59,0.064,0.045,84.0,84.0,84.0,88.0,1.09
Z_aux[120],0.265,0.948,-1.661,2.095,0.204,0.146,22.0,22.0,22.0,38.0,1.3
Z_aux[121],1.687,0.53,0.692,2.647,0.057,0.04,88.0,88.0,88.0,441.0,1.07
Z_aux[122],0.036,0.56,-1.02,1.087,0.075,0.054,55.0,55.0,56.0,126.0,1.11
Z_aux[123],-0.164,0.579,-1.263,0.901,0.077,0.055,56.0,56.0,58.0,88.0,1.1
Z_aux[124],-0.018,0.605,-1.177,1.113,0.07,0.05,75.0,75.0,74.0,231.0,1.09
Z_aux[125],-0.483,0.567,-1.538,0.59,0.068,0.048,70.0,70.0,70.0,233.0,1.09
Z_aux[126],-0.374,0.558,-1.445,0.603,0.064,0.045,77.0,77.0,79.0,295.0,1.08
Z_aux[127],1.337,0.553,0.282,2.411,0.057,0.04,95.0,95.0,99.0,270.0,1.07
Z_aux[128],0.197,0.578,-0.881,1.3,0.098,0.07,35.0,35.0,35.0,203.0,1.18
Z_aux[129],0.167,0.63,-1.039,1.327,0.053,0.037,144.0,144.0,146.0,254.0,1.05
Z_aux[130],-0.025,0.529,-1.03,0.988,0.057,0.04,87.0,87.0,90.0,290.0,1.07
Z_aux[131],-0.17,0.571,-1.206,0.956,0.04,0.029,199.0,199.0,199.0,347.0,1.04
Z_aux[132],-0.346,0.569,-1.432,0.763,0.056,0.04,104.0,104.0,106.0,194.0,1.06
Z_aux[133],-0.01,0.626,-1.198,1.217,0.126,0.09,25.0,25.0,25.0,90.0,1.24
Z_aux[134],1.086,0.614,-0.041,2.249,0.134,0.098,21.0,20.0,21.0,40.0,1.3
Z_aux[135],0.024,0.657,-1.302,1.184,0.08,0.057,67.0,67.0,71.0,74.0,1.1
Z_aux[136],-0.239,0.562,-1.221,0.843,0.059,0.042,91.0,91.0,92.0,183.0,1.07
Z_aux[137],-0.362,0.644,-1.591,0.826,0.071,0.05,83.0,83.0,82.0,146.0,1.09
Z_aux[138],-0.246,0.598,-1.389,0.831,0.063,0.045,89.0,89.0,90.0,234.0,1.1
Z_aux[139],-0.648,0.561,-1.691,0.422,0.067,0.047,70.0,70.0,71.0,162.0,1.08
Z_aux[140],-0.16,0.616,-1.288,0.964,0.086,0.061,51.0,51.0,51.0,117.0,1.11
Z_aux[141],0.117,0.612,-0.989,1.31,0.103,0.074,35.0,35.0,36.0,141.0,1.17
Z_aux[142],0.055,0.628,-1.004,1.277,0.068,0.048,86.0,86.0,85.0,218.0,1.09
Z_aux[143],0.369,0.586,-0.624,1.493,0.081,0.066,52.0,40.0,55.0,174.0,1.13
Z_aux[144],0.265,0.573,-0.766,1.301,0.1,0.076,33.0,29.0,31.0,49.0,1.21
Z_aux[145],-0.145,0.589,-1.303,0.889,0.049,0.034,147.0,147.0,146.0,515.0,1.05
Z_aux[146],0.658,0.586,-0.491,1.694,0.087,0.062,45.0,45.0,46.0,137.0,1.12
Z_aux[147],-0.081,0.682,-1.346,1.259,0.082,0.059,69.0,69.0,68.0,202.0,1.1
Z_aux[148],-0.205,0.554,-1.24,0.828,0.086,0.062,41.0,41.0,42.0,172.0,1.14
Z_aux[149],0.565,0.524,-0.414,1.516,0.044,0.031,145.0,145.0,146.0,216.0,1.06
Z_aux[150],-0.6,0.561,-1.724,0.433,0.045,0.033,153.0,148.0,155.0,230.0,1.03
Z_aux[151],-0.031,0.616,-1.24,1.019,0.097,0.069,40.0,40.0,42.0,84.0,1.16
Z_aux[152],-0.102,0.587,-1.315,0.974,0.056,0.046,112.0,82.0,115.0,114.0,1.07
Z_aux[153],0.938,0.563,-0.181,1.909,0.046,0.033,147.0,147.0,149.0,258.0,1.04
Z_aux[154],0.036,0.622,-1.124,1.226,0.08,0.057,60.0,60.0,61.0,235.0,1.09
Z_aux[155],1.501,0.487,0.596,2.402,0.035,0.025,192.0,192.0,193.0,497.0,1.03
Z_aux[156],-0.453,0.553,-1.519,0.56,0.059,0.042,87.0,87.0,88.0,467.0,1.07
Z_aux[157],0.019,0.556,-1.005,1.043,0.046,0.033,144.0,144.0,137.0,363.0,1.06
Z_aux[158],-0.075,0.611,-1.194,1.083,0.051,0.036,145.0,145.0,147.0,374.0,1.05
Z_aux[159],-0.441,0.593,-1.587,0.708,0.078,0.06,58.0,49.0,58.0,105.0,1.13
Z_aux[160],-0.381,0.71,-1.873,0.805,0.165,0.119,19.0,19.0,19.0,40.0,1.34
Z_aux[161],-0.003,0.603,-1.14,1.11,0.058,0.041,110.0,110.0,112.0,293.0,1.07
Z_aux[162],0.613,0.593,-0.467,1.747,0.116,0.096,26.0,20.0,27.0,38.0,1.22
Z_aux[163],-0.087,0.649,-1.315,1.24,0.082,0.058,63.0,63.0,67.0,80.0,1.1
Z_aux[164],-0.189,0.606,-1.375,0.878,0.057,0.04,113.0,113.0,114.0,401.0,1.07
Z_aux[165],2.067,0.486,1.173,2.989,0.049,0.035,99.0,99.0,99.0,348.0,1.07
Z_aux[166],-0.915,0.589,-2.04,0.171,0.091,0.065,42.0,42.0,41.0,170.0,1.17
Z_aux[167],0.199,0.566,-0.857,1.259,0.069,0.049,68.0,68.0,68.0,341.0,1.1
Z_aux[168],0.1,0.602,-1.009,1.206,0.061,0.043,98.0,98.0,99.0,342.0,1.06
Z_aux[169],0.142,0.594,-0.968,1.247,0.1,0.071,35.0,35.0,39.0,38.0,1.16
Z_aux[170],2.695,0.483,1.806,3.579,0.038,0.027,159.0,159.0,160.0,286.0,1.04
