Areaname,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
"Murray, MN",27101,0,9143,0000,0000,0,9059,0000,0000,0,8972,0000,0000,0,8901,0000,0000,0,8807,0000,0000,0,8694,0000,0000,0,8621,0000,0000,0,8485,0000,0000,0,8427,0000,0000,0,8416,0000,0000
"Nicollet, MN",27103,0,29903,0000,0000,0,30185,0000,0000,0,30432,0000,0000,0,30574,0000,0000,0,30805,0000,0000,0,30964,0000,0000,0,31524,0000,0000,0,31788,0000,0000,0,31968,0000,0000,0,32224,0000,0000
"Nobles, MN",27105,0,20777,0000,0000,0,20747,0000,0000,0,20479,0000,0000,0,20386,0000,0000,0,20262,0000,0000,0,20248,0000,0000,0,20069,0000,0000,0,20090,0000,0000,0,20425,0000,0000,0,20558,0000,0000
"Norman, MN",27107,0,7422,0000,0000,0,7280,0000,0000,0,7223,0000,0000,0,7061,0000,0000,0,6954,0000,0000,0,6843,0000,0000,0,6715,0000,0000,0,6587,0000,0000,0,6546,0000,0000,0,6455,0000,0000
"Olmsted, MN",27109,0,124919,0000,0000,0,126798,0000,0000,0,129222,0000,0000,0,131254,0000,0000,0,133304,0000,0000,0,135071,0000,0000,0,137441,0000,0000,0,139595,0000,0000,0,141857,0000,0000,0,143962,0000,0000
"Otter Tail, MN",27111,0,57151,0000,0000,0,57080,0000,0000,0,57165,0000,0000,0,57302,0000,0000,0,57246,0000,0000,0,56967,0000,0000,0,57135,0000,0000,0,56973,0000,0000,0,56895,0000,0000,0,56588,0000,0000
"Pennington, MN",27113,0,13543,0000,0000,0,13370,0000,0000,0,13597,0000,0000,0,13580,0000,0000,0,13607,0000,0000,0,13593,0000,0000,0,13751,0000,0000,0,13781,0000,0000,0,13784,0000,0000,0,13842,0000,0000
"Pine, MN",27115,0,26663,0000,0000,0,27063,0000,0000,0,27410,0000,0000,0,27560,0000,0000,0,27787,0000,0000,0,27923,0000,0000,0,27996,0000,0000,0,28190,0000,0000,0,28399,0000,0000,0,28368,0000,0000
"Pipestone, MN",27117,0,9849,0000,0000,0,9811,0000,0000,0,9650,0000,0000,0,9545,0000,0000,0,9447,0000,0000,0,9265,0000,0000,0,9271,0000,0000,0,9268,0000,0000,0,9358,0000,0000,0,9353,0000,0000
"Polk, MN",27119,0,31378,0000,0000,0,31021,0000,0000,0,30801,0000,0000,0,30741,0000,0000,0,30765,0000,0000,0,30733,0000,0000,0,30675,0000,0000,0,30725,0000,0000,0,30558,0000,0000,0,30776,0000,0000
"Pope, MN",27121,0,11246,0000,0000,0,11152,0000,0000,0,11189,0000,0000,0,11130,0000,0000,0,11125,0000,0000,0,11061,0000,0000,0,11039,0000,0000,0,10975,0000,0000,0,10950,0000,0000,0,10869,0000,0000
"Ramsey, MN",27123,0,511587,0000,0000,0,512979,0000,0000,0,510592,0000,0000,0,505612,0000,0000,0,500781,0000,0000,0,497118,0000,0000,0,496718,0000,0000,0,499408,0000,0000,0,502658,0000,0000,0,506278,0000,0000
"Red Lake, MN",27125,0,4284,0000,0000,0,4289,0000,0000,0,4251,0000,0000,0,4269,0000,0000,0,4292,0000,0000,0,4225,0000,0000,0,4114,0000,0000,0,4126,0000,0000,0,4131,0000,0000,0,4188,0000,0000
"Redwood, MN",27127,0,16757,0000,0000,0,16588,0000,0000,0,16348,0000,0000,0,16159,0000,0000,0,16043,0000,0000,0,15756,0000,0000,0,15713,0000,0000,0,15594,0000,0000,0,15596,0000,0000,0,15464,0000,0000
"Renville, MN",27129,0,17136,0000,0000,0,16882,0000,0000,0,16857,0000,0000,0,16724,0000,0000,0,16563,0000,0000,0,16501,0000,0000,0,16297,0000,0000,0,16140,0000,0000,0,15848,0000,0000,0,15718,0000,0000
"Rice, MN",27131,0,56812,0000,0000,0,57717,0000,0000,0,58399,0000,0000,0,59232,0000,0000,0,59933,0000,0000,0,60544,0000,0000,0,61492,0000,0000,0,61985,0000,0000,0,62583,0000,0000,0,62723,0000,0000
"Rock, MN",27133,0,9703,0000,0000,0,9679,0000,0000,0,9655,0000,0000,0,9577,0000,0000,0,9430,0000,0000,0,9429,0000,0000,0,9394,0000,0000,0,9463,0000,0000,0,9453,0000,0000,0,9483,0000,0000
"Roseau, MN",27135,0,16309,0000,0000,0,16169,0000,0000,0,16103,0000,0000,0,16161,0000,0000,0,16144,0000,0000,0,16201,0000,0000,0,16022,0000,0000,0,15962,0000,0000,0,15963,0000,0000,0,15911,0000,0000
"St. Louis, MN",27137,0,200478,0000,0000,0,200852,0000,0000,0,199722,0000,0000,0,198882,0000,0000,0,197750,0000,0000,0,196553,0000,0000,0,196158,0000,0000,0,196458,0000,0000,0,197166,0000,0000,0,197767,0000,0000
"Scott, MN",27139,0,91081,0000,0000,0,97200,0000,0000,0,103169,0000,0000,0,107957,0000,0000,0,113668,0000,0000,0,118503,0000,0000,0,122733,0000,0000,0,126176,0000,0000,0,129220,0000,0000,0,131939,0000,0000
"Sherburne, MN",27141,0,65267,0000,0000,0,68263,0000,0000,0,71994,0000,0000,0,74936,0000,0000,0,78184,0000,0000,0,81224,0000,0000,0,83998,0000,0000,0,85763,0000,0000,0,87240,0000,0000,0,87832,0000,0000
"Sibley, MN",27143,0,15354,0000,0000,0,15360,0000,0000,0,15283,0000,0000,0,15157,0000,0000,0,15077,0000,0000,0,14969,0000,0000,0,14978,0000,0000,0,15058,0000,0000,0,15077,0000,0000,0,14925,0000,0000
"Stearns, MN",27145,0,133543,0000,0000,0,135996,0000,0000,0,138376,0000,0000,0,140307,0000,0000,0,141292,0000,0000,0,142821,0000,0000,0,144758,0000,0000,0,146534,0000,0000,0,147773,0000,0000,0,148955,0000,0000
"Steele, MN",27147,0,33805,0000,0000,0,34189,0000,0000,0,34374,0000,0000,0,34725,0000,0000,0,35142,0000,0000,0,35580,0000,0000,0,36057,0000,0000,0,36359,0000,0000,0,36594,0000,0000,0,36775,0000,0000
"Stevens, MN",27149,0,10022,0000,0000,0,9978,0000,0000,0,9917,0000,0000,0,9898,0000,0000,0,9800,0000,0000,0,9733,0000,0000,0,9638,0000,0000,0,9561,0000,0000,0,9612,0000,0000,0,9629,0000,0000
"Swift, MN",27151,0,11923,0000,0000,0,11520,0000,0000,0,11436,0000,0000,0,11596,0000,0000,0,11403,0000,0000,0,10379,0000,0000,0,11203,0000,0000,0,11086,0000,0000,0,10961,0000,0000,0,10823,0000,0000
"Todd, MN",27153,0,24408,0000,0000,0,24461,0000,0000,0,24247,0000,0000,0,24128,0000,0000,0,24180,0000,0000,0,24038,0000,0000,0,23940,0000,0000,0,24013,0000,0000,0,23978,0000,0000,0,23869,0000,0000
"Traverse, MN",27155,0,4120,0000,0000,0,3970,0000,0000,0,3918,0000,0000,0,3865,0000,0000,0,3847,0000,0000,0,3807,0000,0000,0,3759,0000,0000,0,3674,0000,0000,0,3602,0000,0000,0,3573,0000,0000
"Wabasha, MN",27157,0,21654,0000,0000,0,21787,0000,0000,0,21787,0000,0000,0,21855,0000,0000,0,21799,0000,0000,0,21754,0000,0000,0,21883,0000,0000,0,21763,0000,0000,0,21873,0000,0000,0,21884,0000,0000
"Wadena, MN",27159,0,13719,0000,0000,0,13649,0000,0000,0,13636,0000,0000,0,13460,0000,0000,0,13398,0000,0000,0,13446,0000,0000,0,13295,0000,0000,0,13377,0000,0000,0,13327,0000,0000,0,13269,0000,0000
"Waseca, MN",27161,0,19517,0000,0000,0,19494,0000,0000,0,19496,0000,0000,0,19412,0000,0000,0,19245,0000,0000,0,19289,0000,0000,0,19344,0000,0000,0,19426,0000,0000,0,19375,0000,0000,0,18771,0000,0000
"Washington, MN",27163,0,202547,0000,0000,0,206692,0000,0000,0,209254,0000,0000,0,212403,0000,0000,0,213982,0000,0000,0,217534,0000,0000,0,222139,0000,0000,0,226384,0000,0000,0,229740,0000,0000,0,231958,0000,0000
"Watonwan, MN",27165,0,11822,0000,0000,0,11820,0000,0000,0,11737,0000,0000,0,11556,0000,0000,0,11366,0000,0000,0,11204,0000,0000,0,11118,0000,0000,0,10991,0000,0000,0,10868,0000,0000,0,10912,0000,0000
"Wilkin, MN",27167,0,7119,0000,0000,0,6960,0000,0000,0,6920,0000,0000,0,6864,0000,0000,0,6725,0000,0000,0,6634,0000,0000,0,6510,0000,0000,0,6486,0000,0000,0,6374,0000,0000,0,6264,0000,0000
"Winona, MN",27169,0,50037,0000,0000,0,49822,0000,0000,0,49506,0000,0000,0,49474,0000,0000,0,49309,0000,0000,0,49570,0000,0000,0,49497,0000,0000,0,49699,0000,0000,0,49590,0000,0000,0,49436,0000,0000
"Wright, MN",27171,0,90751,0000,0000,0,93741,0000,0000,0,98072,0000,0000,0,102241,0000,0000,0,106188,0000,0000,0,109628,0000,0000,0,113923,0000,0000,0,117196,0000,0000,0,119982,0000,0000,0,121907,0000,0000
"Yellow Medicine, MN",27173,0,11045,0000,0000,0,10924,0000,0000,0,10740,0000,0000,0,10606,0000,0000,0,10430,0000,0000,0,10277,0000,0000,0,10199,0000,0000,0,10066,0000,0000,0,9926,0000,0000,0,9867,0000,0000
MISSISSIPPI,28000,0,2848310,0000,0000,0,2853313,0000,0000,0,2858643,0000,0000,0,2867678,0000,0000,0,2886006,0000,0000,0,2900116,0000,0000,0,2897150,0000,0000,0,2921723,0000,0000,0,2940212,0000,0000,0,2951996,0000,0000
"Adams, MS",28001,0,34214,0000,0000,0,33748,0000,0000,0,33362,0000,0000,0,32917,0000,0000,0,32037,0000,0000,0,31741,0000,0000,0,32110,0000,0000,0,31618,0000,0000,0,31182,0000,0000,0,30722,0000,0000
"Alcorn, MS",28003,0,34606,0000,0000,0,34652,0000,0000,0,34746,0000,0000,0,34706,0000,0000,0,34961,0000,0000,0,35075,0000,0000,0,35433,0000,0000,0,35758,0000,0000,0,35825,0000,0000,0,35822,0000,0000
"Amite, MS",28005,0,13578,0000,0000,0,13510,0000,0000,0,13420,0000,0000,0,13406,0000,0000,0,13307,0000,0000,0,13345,0000,0000,0,13512,0000,0000,0,13327,0000,0000,0,13243,0000,0000,0,13038,0000,0000
"Attala, MS",28007,0,19643,0000,0000,0,19627,0000,0000,0,19585,0000,0000,0,19501,0000,0000,0,19364,0000,0000,0,19298,0000,0000,0,19466,0000,0000,0,19569,0000,0000,0,19700,0000,0000,0,19755,0000,0000
"Benton, MS",28009,0,8024,0000,0000,0,7919,0000,0000,0,7835,0000,0000,0,7819,0000,0000,0,7808,0000,0000,0,7876,0000,0000,0,7955,0000,0000,0,7992,0000,0000,0,8086,0000,0000,0,7981,0000,0000
"Bolivar, MS",28011,0,40470,0000,0000,0,40062,0000,0000,0,39207,0000,0000,0,38824,0000,0000,0,38260,0000,0000,0,37567,0000,0000,0,37614,0000,0000,0,37384,0000,0000,0,36997,0000,0000,0,36766,0000,0000
"Calhoun, MS",28013,0,15052,0000,0000,0,14949,0000,0000,0,14815,0000,0000,0,14737,0000,0000,0,14644,0000,0000,0,14531,0000,0000,0,14616,0000,0000,0,14602,0000,0000,0,14494,0000,0000,0,14422,0000,0000
"Carroll, MS",28015,0,10773,0000,0000,0,10659,0000,0000,0,10488,0000,0000,0,10437,0000,0000,0,10384,0000,0000,0,10261,0000,0000,0,10266,0000,0000,0,10327,0000,0000,0,10373,0000,0000,0,10278,0000,0000
"Chickasaw, MS",28017,0,19408,0000,0000,0,19452,0000,0000,0,19306,0000,0000,0,19268,0000,0000,0,19232,0000,0000,0,19088,0000,0000,0,18919,0000,0000,0,18869,0000,0000,0,18759,0000,0000,0,18683,0000,0000
"Choctaw, MS",28019,0,9748,0000,0000,0,9611,0000,0000,0,9583,0000,0000,0,9517,0000,0000,0,9335,0000,0000,0,9267,0000,0000,0,9172,0000,0000,0,8999,0000,0000,0,9067,0000,0000,0,9023,0000,0000
"Claiborne, MS",28021,0,11823,0000,0000,0,11677,0000,0000,0,11543,0000,0000,0,11252,0000,0000,0,11256,0000,0000,0,11272,0000,0000,0,11026,0000,0000,0,10685,0000,0000,0,10813,0000,0000,0,10755,0000,0000
"Clarke, MS",28023,0,17937,0000,0000,0,17797,0000,0000,0,17690,0000,0000,0,17562,0000,0000,0,17507,0000,0000,0,17321,0000,0000,0,17438,0000,0000,0,17366,0000,0000,0,17335,0000,0000,0,17207,0000,0000
"Clay, MS",28025,0,21972,0000,0000,0,21797,0000,0000,0,21839,0000,0000,0,21362,0000,0000,0,21394,0000,0000,0,21104,0000,0000,0,20986,0000,0000,0,20876,0000,0000,0,20716,0000,0000,0,20722,0000,0000
