Areaname,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
UNITED STATES,00000,0,282171957,0000,0000,0,285081556,0000,0000,0,287803914,0000,0000,0,290326418,0000,0000,0,293045739,0000,0000,0,295753151,0000,0000,0,298593212,0000,0000,0,301579895,0000,0000,0,304374846,0000,0000,0,307006550,0000,0000
ALABAMA,01000,0,4451849,0000,0000,0,4464034,0000,0000,0,4472420,0000,0000,0,4490591,0000,0000,0,4512190,0000,0000,0,4545049,0000,0000,0,4597688,0000,0000,0,4637904,0000,0000,0,4677464,0000,0000,0,4708708,0000,0000
"Autauga, AL",01001,0,43872,0000,0000,0,44434,0000,0000,0,45157,0000,0000,0,45762,0000,0000,0,46933,0000,0000,0,47870,0000,0000,0,49105,0000,0000,0,49834,0000,0000,0,50354,0000,0000,0,50756,0000,0000
"Baldwin, AL",01003,0,141358,0000,0000,0,144988,0000,0000,0,148141,0000,0000,0,151707,0000,0000,0,156573,0000,0000,0,162564,0000,0000,0,168516,0000,0000,0,172815,0000,0000,0,176212,0000,0000,0,179878,0000,0000
"Barbour, AL",01005,0,29035,0000,0000,0,29223,0000,0000,0,29289,0000,0000,0,29480,0000,0000,0,29458,0000,0000,0,29452,0000,0000,0,29556,0000,0000,0,29736,0000,0000,0,29836,0000,0000,0,29737,0000,0000
"Bibb, AL",01007,0,19936,0000,0000,0,20942,0000,0000,0,20983,0000,0000,0,21037,0000,0000,0,21208,0000,0000,0,21375,0000,0000,0,21285,0000,0000,0,21485,0000,0000,0,21589,0000,0000,0,21587,0000,0000
"Blount, AL",01009,0,51181,0000,0000,0,51999,0000,0000,0,52775,0000,0000,0,53726,0000,0000,0,54469,0000,0000,0,55035,0000,0000,0,55978,0000,0000,0,56866,0000,0000,0,57794,0000,0000,0,58345,0000,0000
"Bullock, AL",01011,0,11604,0000,0000,0,11381,0000,0000,0,11261,0000,0000,0,11305,0000,0000,0,11038,0000,0000,0,10975,0000,0000,0,10739,0000,0000,0,10966,0000,0000,0,10921,0000,0000,0,10985,0000,0000
"Butler, AL",01013,0,21313,0000,0000,0,21036,0000,0000,0,20607,0000,0000,0,20536,0000,0000,0,20476,0000,0000,0,20338,0000,0000,0,20231,0000,0000,0,20243,0000,0000,0,20171,0000,0000,0,19964,0000,0000
"Calhoun, AL",01015,0,111342,0000,0000,0,111019,0000,0000,0,110860,0000,0000,0,111378,0000,0000,0,111615,0000,0000,0,112081,0000,0000,0,112453,0000,0000,0,112808,0000,0000,0,113422,0000,0000,0,114081,0000,0000
"Chambers, AL",01017,0,36593,0000,0000,0,36281,0000,0000,0,35952,0000,0000,0,35626,0000,0000,0,35387,0000,0000,0,35173,0000,0000,0,34822,0000,0000,0,34731,0000,0000,0,34473,0000,0000,0,34320,0000,0000
"Cherokee, AL",01019,0,24053,0000,0000,0,24078,0000,0000,0,24143,0000,0000,0,24159,0000,0000,0,24291,0000,0000,0,24268,0000,0000,0,24531,0000,0000,0,24474,0000,0000,0,24413,0000,0000,0,24448,0000,0000
"Chilton, AL",01021,0,39781,0000,0000,0,40030,0000,0000,0,40460,0000,0000,0,40776,0000,0000,0,41170,0000,0000,0,41510,0000,0000,0,41821,0000,0000,0,42362,0000,0000,0,42696,0000,0000,0,42971,0000,0000
"Choctaw, AL",01023,0,15850,0000,0000,0,15652,0000,0000,0,15342,0000,0000,0,15168,0000,0000,0,14894,0000,0000,0,14507,0000,0000,0,14389,0000,0000,0,14178,0000,0000,0,14083,0000,0000,0,13990,0000,0000
"Clarke, AL",01025,0,27833,0000,0000,0,27634,0000,0000,0,27273,0000,0000,0,27076,0000,0000,0,26944,0000,0000,0,26740,0000,0000,0,26729,0000,0000,0,26416,0000,0000,0,26264,0000,0000,0,26042,0000,0000
"Clay, AL",01027,0,14264,0000,0000,0,14257,0000,0000,0,14173,0000,0000,0,14066,0000,0000,0,13939,0000,0000,0,13847,0000,0000,0,13777,0000,0000,0,13772,0000,0000,0,13807,0000,0000,0,13640,0000,0000
"Cleburne, AL",01029,0,14156,0000,0000,0,14196,0000,0000,0,14376,0000,0000,0,14378,0000,0000,0,14264,0000,0000,0,14276,0000,0000,0,14433,0000,0000,0,14692,0000,0000,0,14736,0000,0000,0,14759,0000,0000
"Coffee, AL",01031,0,43540,0000,0000,0,43581,0000,0000,0,43759,0000,0000,0,44186,0000,0000,0,44712,0000,0000,0,45159,0000,0000,0,45639,0000,0000,0,46806,0000,0000,0,47773,0000,0000,0,48635,0000,0000
"Colbert, AL",01033,0,55024,0000,0000,0,54841,0000,0000,0,54594,0000,0000,0,54319,0000,0000,0,54427,0000,0000,0,54399,0000,0000,0,54462,0000,0000,0,54606,0000,0000,0,54626,0000,0000,0,54639,0000,0000
"Conecuh, AL",01035,0,14040,0000,0000,0,13894,0000,0000,0,13699,0000,0000,0,13436,0000,0000,0,13238,0000,0000,0,13176,0000,0000,0,13309,0000,0000,0,13118,0000,0000,0,13038,0000,0000,0,12931,0000,0000
"Coosa, AL",01037,0,11843,0000,0000,0,11746,0000,0000,0,11539,0000,0000,0,11423,0000,0000,0,11156,0000,0000,0,10964,0000,0000,0,10857,0000,0000,0,10783,0000,0000,0,10724,0000,0000,0,10556,0000,0000
"Covington, AL",01039,0,37490,0000,0000,0,36939,0000,0000,0,36661,0000,0000,0,36495,0000,0000,0,36322,0000,0000,0,36594,0000,0000,0,36717,0000,0000,0,36804,0000,0000,0,36646,0000,0000,0,36678,0000,0000
"Crenshaw, AL",01041,0,13696,0000,0000,0,13700,0000,0000,0,13580,0000,0000,0,13562,0000,0000,0,13602,0000,0000,0,13541,0000,0000,0,13688,0000,0000,0,13741,0000,0000,0,13686,0000,0000,0,13781,0000,0000
"Cullman, AL",01043,0,77580,0000,0000,0,77661,0000,0000,0,77814,0000,0000,0,78110,0000,0000,0,78711,0000,0000,0,79382,0000,0000,0,79871,0000,0000,0,80602,0000,0000,0,81518,0000,0000,0,81778,0000,0000
"Dale, AL",01045,0,49068,0000,0000,0,49001,0000,0000,0,49070,0000,0000,0,49052,0000,0000,0,48691,0000,0000,0,48319,0000,0000,0,48038,0000,0000,0,48263,0000,0000,0,48400,0000,0000,0,48147,0000,0000
"Dallas, AL",01047,0,46181,0000,0000,0,45910,0000,0000,0,44944,0000,0000,0,44504,0000,0000,0,43927,0000,0000,0,43358,0000,0000,0,43050,0000,0000,0,42780,0000,0000,0,42627,0000,0000,0,41925,0000,0000
"DeKalb, AL",01049,0,64638,0000,0000,0,65519,0000,0000,0,65545,0000,0000,0,66009,0000,0000,0,66574,0000,0000,0,66920,0000,0000,0,67447,0000,0000,0,68275,0000,0000,0,68894,0000,0000,0,69380,0000,0000
"Elmore, AL",01051,0,66230,0000,0000,0,67566,0000,0000,0,68822,0000,0000,0,70151,0000,0000,0,71276,0000,0000,0,73241,0000,0000,0,75511,0000,0000,0,77459,0000,0000,0,78125,0000,0000,0,79233,0000,0000
"Escambia, AL",01053,0,38402,0000,0000,0,38430,0000,0000,0,38319,0000,0000,0,38028,0000,0000,0,37888,0000,0000,0,37642,0000,0000,0,37572,0000,0000,0,37623,0000,0000,0,37532,0000,0000,0,37434,0000,0000
"Etowah, AL",01055,0,103313,0000,0000,0,102914,0000,0000,0,102815,0000,0000,0,102698,0000,0000,0,102657,0000,0000,0,102602,0000,0000,0,102854,0000,0000,0,103216,0000,0000,0,103435,0000,0000,0,103645,0000,0000
"Fayette, AL",01057,0,18456,0000,0000,0,18341,0000,0000,0,18244,0000,0000,0,18145,0000,0000,0,17998,0000,0000,0,18012,0000,0000,0,17758,0000,0000,0,17538,0000,0000,0,17577,0000,0000,0,17371,0000,0000
"Franklin, AL",01059,0,31208,0000,0000,0,31112,0000,0000,0,30766,0000,0000,0,30684,0000,0000,0,30533,0000,0000,0,30673,0000,0000,0,30791,0000,0000,0,30627,0000,0000,0,31051,0000,0000,0,31091,0000,0000
"Geneva, AL",01061,0,25790,0000,0000,0,25528,0000,0000,0,25458,0000,0000,0,25481,0000,0000,0,25458,0000,0000,0,25584,0000,0000,0,25769,0000,0000,0,25717,0000,0000,0,25971,0000,0000,0,25961,0000,0000
"Greene, AL",01063,0,9946,0000,0000,0,9864,0000,0000,0,9840,0000,0000,0,9697,0000,0000,0,9534,0000,0000,0,9472,0000,0000,0,9119,0000,0000,0,9100,0000,0000,0,9039,0000,0000,0,8829,0000,0000
"Hale, AL",01065,0,18288,0000,0000,0,18271,0000,0000,0,18047,0000,0000,0,18013,0000,0000,0,17876,0000,0000,0,17921,0000,0000,0,17901,0000,0000,0,18091,0000,0000,0,18083,0000,0000,0,17975,0000,0000
"Henry, AL",01067,0,16344,0000,0000,0,16301,0000,0000,0,16326,0000,0000,0,16370,0000,0000,0,16432,0000,0000,0,16424,0000,0000,0,16555,0000,0000,0,16653,0000,0000,0,16623,0000,0000,0,16647,0000,0000
"Houston, AL",01069,0,88919,0000,0000,0,89437,0000,0000,0,89849,0000,0000,0,91147,0000,0000,0,92374,0000,0000,0,93614,0000,0000,0,95511,0000,0000,0,97392,0000,0000,0,98852,0000,0000,0,100085,0000,0000
"Jackson, AL",01071,0,54029,0000,0000,0,53972,0000,0000,0,53648,0000,0000,0,53483,0000,0000,0,53217,0000,0000,0,52923,0000,0000,0,52998,0000,0000,0,52796,0000,0000,0,52934,0000,0000,0,52838,0000,0000
"Jefferson, AL",01073,0,662214,0000,0000,0,661494,0000,0000,0,659766,0000,0000,0,660486,0000,0000,0,660016,0000,0000,0,659715,0000,0000,0,661447,0000,0000,0,661477,0000,0000,0,663394,0000,0000,0,665027,0000,0000
"Lamar, AL",01075,0,15905,0000,0000,0,15561,0000,0000,0,15317,0000,0000,0,15065,0000,0000,0,14828,0000,0000,0,14707,0000,0000,0,14456,0000,0000,0,14484,0000,0000,0,14341,0000,0000,0,14200,0000,0000
"Lauderdale, AL",01077,0,87982,0000,0000,0,87393,0000,0000,0,86872,0000,0000,0,86944,0000,0000,0,87203,0000,0000,0,87437,0000,0000,0,87992,0000,0000,0,88522,0000,0000,0,89200,0000,0000,0,89599,0000,0000
"Lawrence, AL",01079,0,34856,0000,0000,0,34836,0000,0000,0,34643,0000,0000,0,34393,0000,0000,0,34204,0000,0000,0,34293,0000,0000,0,33875,0000,0000,0,34151,0000,0000,0,34047,0000,0000,0,34106,0000,0000
"Lee, AL",01081,0,115511,0000,0000,0,116759,0000,0000,0,118197,0000,0000,0,119631,0000,0000,0,121698,0000,0000,0,125350,0000,0000,0,128217,0000,0000,0,130791,0000,0000,0,133105,0000,0000,0,135883,0000,0000
"Limestone, AL",01083,0,65930,0000,0000,0,66643,0000,0000,0,67108,0000,0000,0,67685,0000,0000,0,68407,0000,0000,0,69792,0000,0000,0,71795,0000,0000,0,73909,0000,0000,0,76314,0000,0000,0,78572,0000,0000
"Lowndes, AL",01085,0,13487,0000,0000,0,13451,0000,0000,0,13459,0000,0000,0,13316,0000,0000,0,13033,0000,0000,0,12898,0000,0000,0,12711,0000,0000,0,12664,0000,0000,0,12592,0000,0000,0,12293,0000,0000
"Macon, AL",01087,0,24075,0000,0000,0,23980,0000,0000,0,23651,0000,0000,0,23470,0000,0000,0,23041,0000,0000,0,22736,0000,0000,0,22544,0000,0000,0,22258,0000,0000,0,22195,0000,0000,0,21789,0000,0000
"Madison, AL",01089,0,277868,0000,0000,0,281264,0000,0000,0,286037,0000,0000,0,290763,0000,0000,0,294814,0000,0000,0,300272,0000,0000,0,307509,0000,0000,0,313796,0000,0000,0,320914,0000,0000,0,327744,0000,0000
"Marengo, AL",01091,0,22566,0000,0000,0,22179,0000,0000,0,22161,0000,0000,0,21930,0000,0000,0,21649,0000,0000,0,21405,0000,0000,0,21335,0000,0000,0,21265,0000,0000,0,21100,0000,0000,0,20943,0000,0000
"Marion, AL",01093,0,31149,0000,0000,0,30588,0000,0000,0,30235,0000,0000,0,29972,0000,0000,0,29712,0000,0000,0,29493,0000,0000,0,29585,0000,0000,0,29501,0000,0000,0,29378,0000,0000,0,29116,0000,0000
"Marshall, AL",01095,0,82333,0000,0000,0,82191,0000,0000,0,82922,0000,0000,0,83592,0000,0000,0,84161,0000,0000,0,85298,0000,0000,0,86760,0000,0000,0,87970,0000,0000,0,89200,0000,0000,0,90399,0000,0000
"Mobile, AL",01097,0,400061,0000,0000,0,400094,0000,0000,0,398417,0000,0000,0,397707,0000,0000,0,397521,0000,0000,0,398369,0000,0000,0,402199,0000,0000,0,405234,0000,0000,0,409132,0000,0000,0,411721,0000,0000
"Monroe, AL",01099,0,24281,0000,0000,0,24004,0000,0000,0,23803,0000,0000,0,23532,0000,0000,0,23351,0000,0000,0,23169,0000,0000,0,22986,0000,0000,0,22759,0000,0000,0,22648,0000,0000,0,22389,0000,0000
"Montgomery, AL",01101,0,223413,0000,0000,0,222901,0000,0000,0,222936,0000,0000,0,222486,0000,0000,0,222085,0000,0000,0,222220,0000,0000,0,225333,0000,0000,0,225648,0000,0000,0,224525,0000,0000,0,224119,0000,0000
"Morgan, AL",01103,0,111194,0000,0000,0,111494,0000,0000,0,111397,0000,0000,0,112287,0000,0000,0,112210,0000,0000,0,112951,0000,0000,0,114297,0000,0000,0,115148,0000,0000,0,116297,0000,0000,0,117293,0000,0000
"Perry, AL",01105,0,11808,0000,0000,0,11632,0000,0000,0,11521,0000,0000,0,11241,0000,0000,0,11078,0000,0000,0,10787,0000,0000,0,10554,0000,0000,0,10726,0000,0000,0,10753,0000,0000,0,10623,0000,0000
"Pickens, AL",01107,0,20904,0000,0000,0,20823,0000,0000,0,20708,0000,0000,0,20316,0000,0000,0,20096,0000,0000,0,19834,0000,0000,0,19698,0000,0000,0,19503,0000,0000,0,19385,0000,0000,0,19218,0000,0000
"Pike, AL",01109,0,29734,0000,0000,0,29631,0000,0000,0,29279,0000,0000,0,29413,0000,0000,0,29727,0000,0000,0,29685,0000,0000,0,29975,0000,0000,0,30186,0000,0000,0,30371,0000,0000,0,30461,0000,0000
"Randolph, AL",01111,0,22414,0000,0000,0,22470,0000,0000,0,22429,0000,0000,0,22268,0000,0000,0,22394,0000,0000,0,22472,0000,0000,0,22461,0000,0000,0,22389,0000,0000,0,22620,0000,0000,0,22577,0000,0000
"Russell, AL",01113,0,49692,0000,0000,0,49408,0000,0000,0,49188,0000,0000,0,48684,0000,0000,0,48980,0000,0000,0,49094,0000,0000,0,49695,0000,0000,0,50227,0000,0000,0,50285,0000,0000,0,50846,0000,0000
"St. Clair, AL",01115,0,65079,0000,0000,0,66013,0000,0000,0,67090,0000,0000,0,68292,0000,0000,0,69966,0000,0000,0,72004,0000,0000,0,75223,0000,0000,0,78515,0000,0000,0,80287,0000,0000,0,81895,0000,0000
"Shelby, AL",01117,0,144523,0000,0000,0,149280,0000,0000,0,153918,0000,0000,0,159608,0000,0000,0,165723,0000,0000,0,171678,0000,0000,0,178840,0000,0000,0,183478,0000,0000,0,188483,0000,0000,0,192503,0000,0000
"Sumter, AL",01119,0,14748,0000,0000,0,14555,0000,0000,0,14143,0000,0000,0,13996,0000,0000,0,13869,0000,0000,0,13640,0000,0000,0,13471,0000,0000,0,13269,0000,0000,0,13102,0000,0000,0,12853,0000,0000
"Talladega, AL",01121,0,80338,0000,0000,0,80291,0000,0000,0,80247,0000,0000,0,79776,0000,0000,0,79746,0000,0000,0,79902,0000,0000,0,80124,0000,0000,0,80186,0000,0000,0,80495,0000,0000,0,80242,0000,0000
"Tallapoosa, AL",01123,0,41743,0000,0000,0,41390,0000,0000,0,40947,0000,0000,0,40693,0000,0000,0,40605,0000,0000,0,40445,0000,0000,0,40719,0000,0000,0,40797,0000,0000,0,40920,0000,0000,0,41008,0000,0000
"Tuscaloosa, AL",01125,0,165191,0000,0000,0,166110,0000,0000,0,166610,0000,0000,0,167484,0000,0000,0,169051,0000,0000,0,172060,0000,0000,0,176899,0000,0000,0,178998,0000,0000,0,181780,0000,0000,0,184035,0000,0000
"Walker, AL",01127,0,70680,0000,0000,0,70577,0000,0000,0,70097,0000,0000,0,69514,0000,0000,0,69153,0000,0000,0,69124,0000,0000,0,68978,0000,0000,0,68655,0000,0000,0,68903,0000,0000,0,68742,0000,0000
"Washington, AL",01129,0,18112,0000,0000,0,17890,0000,0000,0,17795,0000,0000,0,17743,0000,0000,0,17579,0000,0000,0,17410,0000,0000,0,17369,0000,0000,0,17124,0000,0000,0,17088,0000,0000,0,17069,0000,0000
"Wilcox, AL",01131,0,12980,0000,0000,0,12908,0000,0000,0,12928,0000,0000,0,12781,0000,0000,0,12721,0000,0000,0,12642,0000,0000,0,12538,0000,0000,0,12580,0000,0000,0,12617,0000,0000,0,12384,0000,0000
"Winston, AL",01133,0,24882,0000,0000,0,24546,0000,0000,0,24468,0000,0000,0,24350,0000,0000,0,24307,0000,0000,0,24236,0000,0000,0,24321,0000,0000,0,24326,0000,0000,0,24068,0000,0000,0,23997,0000,0000
ALASKA,02000,0,627499,0000,0000,0,633316,0000,0000,0,642691,0000,0000,0,650884,0000,0000,0,661569,0000,0000,0,669488,0000,0000,0,677325,0000,0000,0,682297,0000,0000,0,688125,0000,0000,0,698473,0000,0000
"Aleutians East, AK",02013,0,2686,0000,0000,0,2461,0000,0000,0,2640,0000,0000,0,2677,0000,0000,0,2637,0000,0000,0,2637,0000,0000,0,2619,0000,0000,0,2818,0000,0000,0,2724,0000,0000,0,2744,0000,0000
"Aleutians West, AK",02016,0,5435,0000,0000,0,5343,0000,0000,0,5170,0000,0000,0,5439,0000,0000,0,5464,0000,0000,0,5422,0000,0000,0,5019,0000,0000,0,4763,0000,0000,0,4604,0000,0000,0,4659,0000,0000
"Anchorage, AK",02020,0,260586,0000,0000,0,263929,0000,0000,0,268163,0000,0000,0,271616,0000,0000,0,274852,0000,0000,0,276863,0000,0000,0,279935,0000,0000,0,278504,0000,0000,0,280471,0000,0000,0,286174,0000,0000
"Bethel, AK",02050,0,16103,0000,0000,0,16247,0000,0000,0,16541,0000,0000,0,16699,0000,0000,0,16834,0000,0000,0,16997,0000,0000,0,17090,0000,0000,0,17100,0000,0000,0,17215,0000,0000,0,17352,0000,0000
"Bristol Bay, AK",02060,0,1230,0000,0000,0,1181,0000,0000,0,1136,0000,0000,0,1101,0000,0000,0,1093,0000,0000,0,1104,0000,0000,0,1038,0000,0000,0,997,0000,0000,0,956,0000,0000,0,881,0000,0000
"Denali, AK",02068,0,1892,0000,0000,0,1840,0000,0000,0,1860,0000,0000,0,1863,0000,0000,0,1896,0000,0000,0,1835,0000,0000,0,1828,0000,0000,0,1805,0000,0000,0,1821,0000,0000,0,1851,0000,0000
"Dillingham, AK",02070,0,4922,0000,0000,0,4866,0000,0000,0,4951,0000,0000,0,4877,0000,0000,0,4921,0000,0000,0,4938,0000,0000,0,4945,0000,0000,0,4963,0000,0000,0,4926,0000,0000,0,4957,0000,0000
"Fairbanks North Star, AK",02090,0,82769,0000,0000,0,85233,0000,0000,0,87329,0000,0000,0,89198,0000,0000,0,92301,0000,0000,0,94451,0000,0000,0,94803,0000,0000,0,97952,0000,0000,0,98351,0000,0000,0,98660,0000,0000
"Haines, AK",02100,0,2397,0000,0000,0,2321,0000,0000,0,2301,0000,0000,0,2309,0000,0000,0,2243,0000,0000,0,2232,0000,0000,0,2245,0000,0000,0,2315,0000,0000,0,2327,0000,0000,0,2399,0000,0000
"Hoonah-Angoon, AK",02105,0,2561,0000,0000,0,2528,0000,0000,0,2463,0000,0000,0,2353,0000,0000,0,2294,0000,0000,0,2270,0000,0000,0,2228,0000,0000,0,2203,0000,0000,0,2182,0000,0000,0,2127,0000,0000
"Juneau, AK",02110,0,30668,0000,0000,0,30480,0000,0000,0,30717,0000,0000,0,30892,0000,0000,0,30978,0000,0000,0,30872,0000,0000,0,30681,0000,0000,0,30544,0000,0000,0,30991,0000,0000,0,30796,0000,0000
"Kenai Peninsula, AK",02122,0,49648,0000,0000,0,50036,0000,0000,0,50822,0000,0000,0,50923,0000,0000,0,51321,0000,0000,0,51527,0000,0000,0,52179,0000,0000,0,53238,0000,0000,0,53651,0000,0000,0,54665,0000,0000
"Ketchikan Gateway, AK",02130,0,13983,0000,0000,0,13743,0000,0000,0,13540,0000,0000,0,13266,0000,0000,0,13122,0000,0000,0,13150,0000,0000,0,13302,0000,0000,0,13124,0000,0000,0,13081,0000,0000,0,13005,0000,0000
"Kodiak Island, AK",02150,0,13966,0000,0000,0,13717,0000,0000,0,13629,0000,0000,0,13303,0000,0000,0,13178,0000,0000,0,13050,0000,0000,0,13093,0000,0000,0,13074,0000,0000,0,13170,0000,0000,0,13346,0000,0000
"Lake and Peninsula, AK",02164,0,1809,0000,0000,0,1693,0000,0000,0,1585,0000,0000,0,1574,0000,0000,0,1576,0000,0000,0,1557,0000,0000,0,1529,0000,0000,0,1525,0000,0000,0,1494,0000,0000,0,1485,0000,0000
"Matanuska-Susitna, AK",02170,0,59848,0000,0000,0,61910,0000,0000,0,64540,0000,0000,0,67515,0000,0000,0,71205,0000,0000,0,74988,0000,0000,0,79406,0000,0000,0,82404,0000,0000,0,85319,0000,0000,0,88379,0000,0000
"Nome, AK",02180,0,9171,0000,0000,0,9188,0000,0000,0,9185,0000,0000,0,9260,0000,0000,0,9397,0000,0000,0,9377,0000,0000,0,9293,0000,0000,0,9310,0000,0000,0,9326,0000,0000,0,9391,0000,0000
"North Slope, AK",02185,0,7369,0000,0000,0,7212,0000,0000,0,7149,0000,0000,0,7125,0000,0000,0,6942,0000,0000,0,6798,0000,0000,0,6675,0000,0000,0,6630,0000,0000,0,6725,0000,0000,0,6752,0000,0000
"Northwest Arctic, AK",02188,0,7219,0000,0000,0,7244,0000,0000,0,7234,0000,0000,0,7277,0000,0000,0,7363,0000,0000,0,7374,0000,0000,0,7438,0000,0000,0,7425,0000,0000,0,7467,0000,0000,0,7444,0000,0000
"Petersburg, AK",02195,0,4248,0000,0000,0,4198,0000,0000,0,4087,0000,0000,0,3995,0000,0000,0,4051,0000,0000,0,3956,0000,0000,0,3876,0000,0000,0,3888,0000,0000,0,3816,0000,0000,0,3773,0000,0000
"Prince of Wales-Hyder, AK",02198,0,6105,0000,0000,0,5902,0000,0000,0,5700,0000,0000,0,5684,0000,0000,0,5665,0000,0000,0,5588,0000,0000,0,5646,0000,0000,0,5531,0000,0000,0,5535,0000,0000,0,5560,0000,0000
"Sitka, AK",02220,0,8833,0000,0000,0,8725,0000,0000,0,8847,0000,0000,0,8845,0000,0000,0,8850,0000,0000,0,8929,0000,0000,0,8940,0000,0000,0,8728,0000,0000,0,8711,0000,0000,0,8747,0000,0000
"Skagway, AK",02230,0,868,0000,0000,0,863,0000,0000,0,854,0000,0000,0,876,0000,0000,0,909,0000,0000,0,917,0000,0000,0,909,0000,0000,0,902,0000,0000,0,905,0000,0000,0,920,0000,0000
"Southeast Fairbanks, AK",02240,0,6173,0000,0000,0,5696,0000,0000,0,5612,0000,0000,0,5701,0000,0000,0,5970,0000,0000,0,6470,0000,0000,0,6758,0000,0000,0,6855,0000,0000,0,6824,0000,0000,0,6892,0000,0000
"Valdez-Cordova, AK",02261,0,10220,0000,0000,0,10093,0000,0000,0,10037,0000,0000,0,9942,0000,0000,0,9895,0000,0000,0,9813,0000,0000,0,9715,0000,0000,0,9462,0000,0000,0,9332,0000,0000,0,9324,0000,0000
"Wade Hampton, AK",02270,0,7042,0000,0000,0,7088,0000,0000,0,7162,0000,0000,0,7286,0000,0000,0,7446,0000,0000,0,7455,0000,0000,0,7464,0000,0000,0,7583,0000,0000,0,7654,0000,0000,0,7731,0000,0000
"Wrangell, AK",02275,0,2454,0000,0000,0,2395,0000,0000,0,2316,0000,0000,0,2254,0000,0000,0,2178,0000,0000,0,2171,0000,0000,0,2168,0000,0000,0,2168,0000,0000,0,2185,0000,0000,0,2147,0000,0000
"Yakutat, AK",02282,0,801,0000,0000,0,799,0000,0000,0,749,0000,0000,0,729,0000,0000,0,711,0000,0000,0,677,0000,0000,0,658,0000,0000,0,675,0000,0000,0,650,0000,0000,0,685,0000,0000
"Yukon-Koyukuk, AK",02290,0,6493,0000,0000,0,6385,0000,0000,0,6372,0000,0000,0,6305,0000,0000,0,6277,0000,0000,0,6070,0000,0000,0,5845,0000,0000,0,5811,0000,0000,0,5712,0000,0000,0,5627,0000,0000
ARIZONA,04000,0,5166697,0000,0000,0,5304417,0000,0000,0,5452108,0000,0000,0,5591206,0000,0000,0,5759425,0000,0000,0,5974834,0000,0000,0,6192100,0000,0000,0,6362241,0000,0000,0,6499377,0000,0000,0,6595778,0000,0000
"Apache, AZ",04001,0,69516,0000,0000,0,67857,0000,0000,0,67267,0000,0000,0,67938,0000,0000,0,67943,0000,0000,0,68250,0000,0000,0,69066,0000,0000,0,69278,0000,0000,0,69520,0000,0000,0,70591,0000,0000
"Cochise, AZ",04003,0,118028,0000,0000,0,118573,0000,0000,0,119750,0000,0000,0,121175,0000,0000,0,123235,0000,0000,0,125637,0000,0000,0,126751,0000,0000,0,127736,0000,0000,0,128425,0000,0000,0,129518,0000,0000
"Coconino, AZ",04005,0,116717,0000,0000,0,117803,0000,0000,0,120390,0000,0000,0,121545,0000,0000,0,123349,0000,0000,0,124804,0000,0000,0,126029,0000,0000,0,127451,0000,0000,0,128426,0000,0000,0,129849,0000,0000
"Gila, AZ",04007,0,51355,0000,0000,0,51165,0000,0000,0,51225,0000,0000,0,50906,0000,0000,0,50848,0000,0000,0,50914,0000,0000,0,51635,0000,0000,0,52231,0000,0000,0,52273,0000,0000,0,52199,0000,0000
"Graham, AZ",04009,0,33541,0000,0000,0,33307,0000,0000,0,33120,0000,0000,0,32785,0000,0000,0,32441,0000,0000,0,32629,0000,0000,0,33286,0000,0000,0,34736,0000,0000,0,36204,0000,0000,0,37045,0000,0000
"Greenlee, AZ",04011,0,8542,0000,0000,0,8281,0000,0000,0,7706,0000,0000,0,7381,0000,0000,0,7307,0000,0000,0,7292,0000,0000,0,7465,0000,0000,0,7760,0000,0000,0,8058,0000,0000,0,8041,0000,0000
"La Paz, AZ",04012,0,19643,0000,0000,0,19537,0000,0000,0,19346,0000,0000,0,19516,0000,0000,0,19696,0000,0000,0,20007,0000,0000,0,20118,0000,0000,0,20133,0000,0000,0,20005,0000,0000,0,20012,0000,0000
"Maricopa, AZ",04013,0,3097378,0000,0000,0,3200075,0000,0000,0,3299127,0000,0000,0,3391391,0000,0000,0,3502635,0000,0000,0,3647131,0000,0000,0,3776118,0000,0000,0,3872962,0000,0000,0,3958263,0000,0000,0,4023132,0000,0000
"Mohave, AZ",04015,0,156194,0000,0000,0,159840,0000,0000,0,165177,0000,0000,0,171019,0000,0000,0,178313,0000,0000,0,185940,0000,0000,0,192724,0000,0000,0,195852,0000,0000,0,195601,0000,0000,0,194825,0000,0000
"Navajo, AZ",04017,0,97876,0000,0000,0,98549,0000,0000,0,101358,0000,0000,0,103220,0000,0000,0,105020,0000,0000,0,106968,0000,0000,0,109000,0000,0000,0,110999,0000,0000,0,112348,0000,0000,0,112975,0000,0000
"Pima, AZ",04019,0,848521,0000,0000,0,865694,0000,0000,0,886063,0000,0000,0,903320,0000,0000,0,924205,0000,0000,0,948965,0000,0000,0,975476,0000,0000,0,996593,0000,0000,0,1009832,0000,0000,0,1020200,0000,0000
